drawNumber,drawDate,drawDateFull,drawDateTime,drawName,drawSizeStr,drawSizeNum,drawCRS
74,2017-10-18,"October 18, 2017","October 18, 2017 at 11:12:41 UTC",No Program Specified,"2,757",2757,436
73,2017-10-04,"October 4, 2017","October 4, 2017 at 12:22:22 UTC",No Program Specified,"2,801",2801,438
72,2017-09-20,"September 20, 2017","September 20, 2017 at 12:39:23 UTC",No Program Specified,"2,871",2871,433
71,2017-09-06,"September 6, 2017","September 6, 2017 at 11:08:58 UTC",No Program Specified,"2,772",2772,435
70,2017-08-23,"August 23, 2017","August 23, 2017 at 12:14:16 UTC",No Program Specified,"3,035",3035,434
69,2017-08-09,"August 9, 2017","August 9, 2017 at 12:15:03 UTC",No Program Specified,"2,991",2991,433
68,2017-08-02,"August 2, 2017","August 2, 2017 at 12:22:55 UTC",No Program Specified,"3,264",3264,441
67,2017-07-12,"July 12, 2017","July 12, 2017 at 16:31:04 UTC",No Program Specified,"3,202",3202,440
66,2017-06-28,"June 28, 2017","June 28, 2017 at 13:17:07 UTC",No Program Specified,"3,409",3409,449
65,2017-05-31,"May 31, 2017","May 31, 2017 at 12:13:35 UTC",No Program Specified,"3,877",3877,413
64,2017-05-26,"May 26, 2017","May 26, 2017, at 16:35:48 UTC",Federal Skilled Trades,400,400,199
63,2017-05-26,"May 26, 2017","May 26, 2017, at 16:35:48 UTC",Provincial Nominee Program,143,143,775
62,2017-05-17,"May 17, 2017","May 17, 2017 at 13:17:03 UTC",No Program Specified,"3,687",3687,415
61,2017-05-04,"May 4, 2017","May 4, 2017 at 12:20:49 UTC",No Program Specified,"3,796",3796,423
60,2017-04-19,"April 19, 2017","April 19, 2017 at 12:23:45 UTC",No Program Specified,"3,665",3665,415
59,2017-04-12,"April 12, 2017","April 12, 2017 at 17:24:01 UTC",No Program Specified,"3,923",3923,423
58,2017-04-05,"April 5, 2017","April 5, 2017 at 12:09:10 UTC",No Program Specified,"3,753",3753,431
57,2017-03-24,"March 24, 2017","March 24, 2017 at 12:38:04 UTC",No Program Specified,"3,749",3749,441
56,2017-03-01,"March 1, 2017","March 1, 2017 at 13:32:31 UTC",No Program Specified,"3,884",3884,434
55,2017-02-22,"February 22, 2017","February 22, 2017 at 13:10:45 UTC",No Program Specified,"3,611",3611,441
54,2017-02-08,"February 8, 2017","February 8, 2017 at 13:23:27 UTC",No Program Specified,"3,644",3644,447
53,2017-01-25,"January 25, 2017","January 25, 2017 at 13:13:53 UTC",No Program Specified,"3,508",3508,453
52,2017-01-11,"January 11, 2017","January 11, 2017 at 15:16:33 UTC",No Program Specified,"3,334",3334,459
51,2017-01-04,"January 4, 2017","January 4, 2017 at 13:24:16 UTC",No Program Specified,"2,902",2902,468
50,2016-12-22,"December 22, 2016","December 22, 2016 at 13:39:04 UTC",No Program Specified,"2,878",2878,475
49,2016-12-16,"December 16, 2016","December 16, 2016 at 16:42:31 UTC",No Program Specified,"1,936",1936,497
48,2016-11-30,"November 30, 2016","November 30, 2016 at 14:58:44 UTC",Provincial Nominee Program,559,559,786
47,2016-11-16,"November 16, 2016","November 16, 2016 at 13:12:45 UTC",No Program Specified,"2,427",2427,470
46,2016-11-02,"November 2, 2016","November 2, 2016 at 12:34:57 UTC",No Program Specified,"2,080",2080,472
45,2016-10-19,"October 19, 2016","October 19, 2016 at 12:20:50 UTC",No Program Specified,"1,804",1804,475
44,2016-10-12,"October 12, 2016","October 12, 2016 at 12:18:33 UTC",No Program Specified,"1,518",1518,484
43,2016-09-21,"September 21, 2016","September 21, 2016 at 12:05:41 UTC",No Program Specified,"1,288",1288,483
42,2016-09-07,"September 7, 2016","September 7, 2016 at 12:09:27 UTC",No Program Specified,"1,000",1000,491
41,2016-08-24,"August 24, 2016","August 24, 2016 at 12:12:22 UTC",No Program Specified,750,750,538
40,2016-08-10,"August 10, 2016","August 10, 2016 at 11:17:01 UTC",No Program Specified,754,754,490
39,2016-07-27,"July 27, 2016","July 27, 2016 at 12:40:23 UTC",No Program Specified,755,755,488
38,2016-07-13,"July 13, 2016"," July 13, 2016 at 13:56:45 UTC",No Program Specified,747,747,482
37,2016-06-29,"June 29, 2016","June 29, 2016 at 12:10:42 UTC",No Program Specified,773,773,482
36,2016-06-15,"June 15, 2016","June 15, 2016 at 13:35:01 UTC",No Program Specified,752,752,488
35,2016-06-01,"June 1, 2016","June 1, 2016 at 18:59:32 UTC",No Program Specified,762,762,483
34,2016-05-18,"May 18, 2016","May 18, 2016 at 13:45:56 UTC",No Program Specified,763,763,484
33,2016-05-06,"May 6, 2016","May 6, 2016 at 12:47:39 UTC",No Program Specified,799,799,534
32,2016-04-20,"April 20, 2016","April 20, 2016 at 12:29:05 UTC",No Program Specified,"1,018",1018,468
31,2016-04-06,"April 6, 2016","April 6, 2016 at 12:32:17 UTC",No Program Specified,954,954,470
30,2016-03-23,"March 23, 2016","March 23, 2016 at 12:20:45 UTC",No Program Specified,"1,014",1014,470
29,2016-03-09,"March 9, 2016","March 9, 2016 at 13:11:07 UTC",No Program Specified,"1,013",1013,473
28,2016-02-24,"February 24, 2016","February 24, 2016 at 13:03:55 UTC",No Program Specified,"1,484",1484,453
27,2016-02-10,"February 10, 2016","February 10, 2016 at 13:07:36 UTC",No Program Specified,"1,505",1505,459
26,2016-01-27,"January 27, 2016","January 27, 2016 at 13:44:40 UTC",No Program Specified,"1,468",1468,457
25,2016-01-13,"January 13, 2016","January 13, 2016 at 12:59:27 UTC",No Program Specified,"1,518",1518,453
24,2016-01-06,"January 6, 2016","January 6, 2016 at 13:28:25 UTC",No Program Specified,"1,463",1463,461
23,2015-12-18,"December 18, 2015","December 18, 2015 at 15:56:10 UTC",No Program Specified,"1,503",1503,460
22,2015-12-04,"December 4, 2015","December 4, 2015 at 13:15:46 UTC",No Program Specified,"1,451",1451,461
21,2015-11-27,"November 27, 2015","November 27, 2015 at 15:58:32 UTC",No Program Specified,"1,559",1559,472
20,2015-11-13,"November 13, 2015","November 13, 2015 at 12:34:37 UTC",No Program Specified,"1,506",1506,484
19,2015-10-23,"October 23, 2015","October 23, 2015 at 12:34:37 UTC",No Program Specified,"1,502",1502,489
18,2015-10-02,"October 2, 2015","October 2, 2015 at 12:28:11 UTC",No Program Specified,"1,530",1530,450
17,2015-09-18,"September 18, 2015","September 18, 2015 at 14:51:28 UTC",No Program Specified,"1,545",1545,450
16,2015-09-08,"September 8, 2015","September 8, 2015 at 15:41:50 UTC",No Program Specified,"1,517",1517,459
15,2015-08-21,"August 21, 2015","August 21, 2015 at 14:38:31 UTC",No Program Specified,"1,523",1523,456
14,2015-08-07,"August 7, 2015","August 7, 2015 at 21:10:39 UTC",No Program Specified,"1,402",1402,471
13,2015-07-17,"July 17, 2015","July 18, 2015 at 00:04:00 UTC",No Program Specified,"1,581",1581,451
12,2015-07-10,"July 10, 2015","July 10, 2015 at 23:59:57 UTC",No Program Specified,"1,516",1516,463
11,2015-06-26,"June 26, 2015","June 27, 2015 at 00:02:00 UTC",No Program Specified,"1,575",1575,469
10,2015-06-12,"June 12, 2015","June 12, 2015 at 23:59:55 UTC",No Program Specified,"1,501",1501,482
9,2015-05-22,"May 22, 2015","May 23, 2015 at 00:00:00 UTC",No Program Specified,"1,361",1361,755
8,2015-04-17,"April 17, 2015","April 18, 2015 at 00:00:00 UTC",No Program Specified,715,715,453
7,2015-04-10,"April 10, 2015","April 11, 2015 at 00:00:01 UTC",No Program Specified,925,925,469
6,2015-03-27,"March 27, 2015","March 27, 2015 at 23:59:47",No Program Specified,"1,637",1637,453
5,2015-03-20,"March 20, 2015","March 20, 2015 at 23:59:53 UTC",No Program Specified,"1,620",1620,481
4,2015-02-27,"February 27, 2015","February 27, 2015 at 23:59:51 UTC",No Program Specified,"1,187",1187,735
3,2015-02-20,"February 20, 2015","February 20, 2015 at 11:59:47 UTC",Canadian Experience Class,849,849,808
2,2015-02-07,"February 7, 2015","February 7, 2015 at 11:59:59 UTC",No Program Specified,779,779,818
1,2015-01-31,"January 31, 2015","January 31, 2015 at 11:59:48 UTC",No Program Specified,779,779,886
